test_id,server_id,download_connections,download_bytes,download_bytes_percent,name,country,country_code,latitude,longitude,sponsor_name
7202083946,17336,7,120690402,16.72,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"ETISALAT-UAE"
7202083946,28422,8,269954352,37.40,"Abu Dhabi","United Arab Emirates","AE",24.4539,54.3773,"ETISALAT-UAE"
7202083946,34238,7,161952377,22.44,"Ajman","United Arab Emirates","AE",25.4052,55.5136,"ETISALAT-UAE"
7202083946,34239,8,169131406,23.43,"Alain","United Arab Emirates","AE",24.1302,55.8023,"ETISALAT-UAE"
7202090471,17336,4,121960096,44.78,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"ETISALAT-UAE"
7202090471,28422,4,45185760,16.59,"Abu Dhabi","United Arab Emirates","AE",24.4539,54.3773,"ETISALAT-UAE"
7202090471,33712,3,58072047,21.32,"Sharjah","United Arab Emirates","AE",25.3463,55.4209,"ETISALAT-UAE"
7202090471,34238,4,47155328,17.31,"Ajman","United Arab Emirates","AE",25.4052,55.5136,"ETISALAT-UAE"
7202093400,17336,4,65367296,19.39,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"ETISALAT-UAE"
7202093400,28422,4,109780432,32.57,"Abu Dhabi","United Arab Emirates","AE",24.4539,54.3773,"ETISALAT-UAE"
7202093400,33712,4,58489376,17.35,"Sharjah","United Arab Emirates","AE",25.3463,55.4209,"ETISALAT-UAE"
7202093400,34239,4,103452176,30.69,"Alain","United Arab Emirates","AE",24.1302,55.8023,"ETISALAT-UAE"
7202093446,28422,5,314027820,52.67,"Abu Dhabi","United Arab Emirates","AE",24.4539,54.3773,"ETISALAT-UAE"
7202093446,34238,4,150740884,25.28,"Ajman","United Arab Emirates","AE",25.4052,55.5136,"ETISALAT-UAE"
7202093446,34239,5,71390720,11.97,"Alain","United Arab Emirates","AE",24.1302,55.8023,"ETISALAT-UAE"
7202093446,34240,4,60010290,10.07,"Fujairah","United Arab Emirates","AE",25.1288,56.3265,"ETISALAT-UAE"
7202093487,28422,5,87202556,40.18,"Abu Dhabi","United Arab Emirates","AE",24.4539,54.3773,"ETISALAT-UAE"
7202093487,33712,5,63351096,29.19,"Sharjah","United Arab Emirates","AE",25.3463,55.4209,"ETISALAT-UAE"
7202093487,34238,5,36572412,16.85,"Ajman","United Arab Emirates","AE",25.4052,55.5136,"ETISALAT-UAE"
7202093487,34239,5,29894288,13.77,"Alain","United Arab Emirates","AE",24.1302,55.8023,"ETISALAT-UAE"
7202093497,17336,4,42147736,26.57,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"ETISALAT-UAE"
7202093497,28422,4,19204240,12.10,"Abu Dhabi","United Arab Emirates","AE",24.4539,54.3773,"ETISALAT-UAE"
7202093497,33712,4,57850778,36.46,"Sharjah","United Arab Emirates","AE",25.3463,55.4209,"ETISALAT-UAE"
7202093497,34240,4,39448368,24.86,"Fujairah","United Arab Emirates","AE",25.1288,56.3265,"ETISALAT-UAE"
7202093531,17336,4,12539161,7.24,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"ETISALAT-UAE"
7202093531,28422,4,57101800,32.97,"Abu Dhabi","United Arab Emirates","AE",24.4539,54.3773,"ETISALAT-UAE"
7202093531,33712,4,100090304,57.79,"Sharjah","United Arab Emirates","AE",25.3463,55.4209,"ETISALAT-UAE"
7202093531,34238,4,3465967,2.00,"Ajman","United Arab Emirates","AE",25.4052,55.5136,"ETISALAT-UAE"
7202093536,17336,4,76360890,50.77,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"ETISALAT-UAE"
7202093536,33712,4,54008872,35.91,"Sharjah","United Arab Emirates","AE",25.3463,55.4209,"ETISALAT-UAE"
7202093536,34238,4,15425304,10.26,"Ajman","United Arab Emirates","AE",25.4052,55.5136,"ETISALAT-UAE"
7202093536,34240,4,4606246,3.06,"Fujairah","United Arab Emirates","AE",25.1288,56.3265,"ETISALAT-UAE"
7202093586,17336,4,55086535,20.32,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"ETISALAT-UAE"
7202093586,33712,5,101895924,37.59,"Sharjah","United Arab Emirates","AE",25.3463,55.4209,"ETISALAT-UAE"
7202093586,34238,4,78349280,28.91,"Ajman","United Arab Emirates","AE",25.4052,55.5136,"ETISALAT-UAE"
7202093586,34240,4,35722956,13.18,"Fujairah","United Arab Emirates","AE",25.1288,56.3265,"ETISALAT-UAE"
7202093587,17336,4,13649040,8.27,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"ETISALAT-UAE"
7202093587,28422,4,103858192,62.95,"Abu Dhabi","United Arab Emirates","AE",24.4539,54.3773,"ETISALAT-UAE"
7202093587,33712,4,41738400,25.30,"Sharjah","United Arab Emirates","AE",25.3463,55.4209,"ETISALAT-UAE"
7202093587,34238,4,5737296,3.48,"Ajman","United Arab Emirates","AE",25.4052,55.5136,"ETISALAT-UAE"
7202093675,17336,6,222628416,31.49,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"ETISALAT-UAE"
7202093675,28422,6,119883882,16.96,"Abu Dhabi","United Arab Emirates","AE",24.4539,54.3773,"ETISALAT-UAE"
7202093675,33712,7,184713108,26.12,"Sharjah","United Arab Emirates","AE",25.3463,55.4209,"ETISALAT-UAE"
7202093675,34238,7,179840384,25.43,"Ajman","United Arab Emirates","AE",25.4052,55.5136,"ETISALAT-UAE"
7202093708,17336,4,218330869,64.57,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"ETISALAT-UAE"
7202093708,33712,4,63492904,18.78,"Sharjah","United Arab Emirates","AE",25.3463,55.4209,"ETISALAT-UAE"
7202093708,34238,4,34620944,10.24,"Ajman","United Arab Emirates","AE",25.4052,55.5136,"ETISALAT-UAE"
7202093708,34240,4,21683768,6.41,"Fujairah","United Arab Emirates","AE",25.1288,56.3265,"ETISALAT-UAE"
7202093773,17336,4,86995152,26.03,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"ETISALAT-UAE"
7202093773,28422,4,70571760,21.12,"Abu Dhabi","United Arab Emirates","AE",24.4539,54.3773,"ETISALAT-UAE"
7202093773,33712,4,57723528,17.27,"Sharjah","United Arab Emirates","AE",25.3463,55.4209,"ETISALAT-UAE"
7202093773,34240,4,118890692,35.58,"Fujairah","United Arab Emirates","AE",25.1288,56.3265,"ETISALAT-UAE"
7202093836,17336,4,69282533,26.97,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"ETISALAT-UAE"
7202093836,33712,4,129027544,50.23,"Sharjah","United Arab Emirates","AE",25.3463,55.4209,"ETISALAT-UAE"
7202093836,34238,4,26026776,10.13,"Ajman","United Arab Emirates","AE",25.4052,55.5136,"ETISALAT-UAE"
7202093836,34240,4,32541660,12.67,"Fujairah","United Arab Emirates","AE",25.1288,56.3265,"ETISALAT-UAE"
7202093848,17336,4,32327400,23.37,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"ETISALAT-UAE"
7202093848,28422,4,26258968,18.98,"Abu Dhabi","United Arab Emirates","AE",24.4539,54.3773,"ETISALAT-UAE"
7202093848,33712,4,27144600,19.62,"Sharjah","United Arab Emirates","AE",25.3463,55.4209,"ETISALAT-UAE"
7202093848,34238,4,52607904,38.03,"Ajman","United Arab Emirates","AE",25.4052,55.5136,"ETISALAT-UAE"
7202093854,17336,4,29056752,21.68,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"ETISALAT-UAE"
7202093854,33712,4,40511568,30.23,"Sharjah","United Arab Emirates","AE",25.3463,55.4209,"ETISALAT-UAE"
7202093854,34238,4,24845968,18.54,"Ajman","United Arab Emirates","AE",25.4052,55.5136,"ETISALAT-UAE"
7202093854,34240,4,39609984,29.55,"Fujairah","United Arab Emirates","AE",25.1288,56.3265,"ETISALAT-UAE"
7202093864,4845,12,212827050,41.98,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"du"
7202093864,11722,12,35518847,7.01,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"Orixcom"
7202093864,17336,12,209466132,41.32,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"ETISALAT-UAE"
7202093864,22129,12,49121329,9.69,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"i3D.net"
7202093940,33712,4,25877872,25.07,"Sharjah","United Arab Emirates","AE",25.3463,55.4209,"ETISALAT-UAE"
7202093940,34238,4,33349476,32.30,"Ajman","United Arab Emirates","AE",25.4052,55.5136,"ETISALAT-UAE"
7202093940,34239,4,3327880,3.22,"Alain","United Arab Emirates","AE",24.1302,55.8023,"ETISALAT-UAE"
7202093940,34240,4,40681804,39.41,"Fujairah","United Arab Emirates","AE",25.1288,56.3265,"ETISALAT-UAE"
