test_id,server_id,download_connections,download_bytes,download_bytes_percent,name,country,country_code,latitude,longitude,sponsor_name
4507631737,28422,6,412553000,52.60,"Abu Dhabi","United Arab Emirates","AE",24.4539,54.3773,"ETISALAT-UAE"
4507631737,33712,6,111127743,14.17,"Sharjah","United Arab Emirates","AE",25.3463,55.4209,"ETISALAT-UAE"
4507631737,34238,5,120543080,15.37,"Ajman","United Arab Emirates","AE",25.4052,55.5136,"ETISALAT-UAE"
4507631737,34239,6,140118582,17.86,"Alain","United Arab Emirates","AE",24.1302,55.8023,"ETISALAT-UAE"
4507633221,28422,4,52486312,70.16,"Abu Dhabi","United Arab Emirates","AE",24.4539,54.3773,"ETISALAT-UAE"
4507633221,33712,4,7622448,10.19,"Sharjah","United Arab Emirates","AE",25.3463,55.4209,"ETISALAT-UAE"
4507633221,34238,4,7172670,9.59,"Ajman","United Arab Emirates","AE",25.4052,55.5136,"ETISALAT-UAE"
4507633221,34239,4,7523760,10.06,"Alain","United Arab Emirates","AE",24.1302,55.8023,"ETISALAT-UAE"
4507635247,28422,4,6908992,37.81,"Abu Dhabi","United Arab Emirates","AE",24.4539,54.3773,"ETISALAT-UAE"
4507635247,33712,4,3620880,19.82,"Sharjah","United Arab Emirates","AE",25.3463,55.4209,"ETISALAT-UAE"
4507635247,34238,4,4517640,24.73,"Ajman","United Arab Emirates","AE",25.4052,55.5136,"ETISALAT-UAE"
4507635247,34239,4,3223771,17.64,"Alain","United Arab Emirates","AE",24.1302,55.8023,"ETISALAT-UAE"
4507635325,17336,9,107497434,11.14,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"ETISALAT-UAE"
4507635325,28422,10,254744716,26.40,"Abu Dhabi","United Arab Emirates","AE",24.4539,54.3773,"ETISALAT-UAE"
4507635325,33712,10,310811876,32.22,"Sharjah","United Arab Emirates","AE",25.3463,55.4209,"ETISALAT-UAE"
4507635325,34239,9,291727597,30.24,"Alain","United Arab Emirates","AE",24.1302,55.8023,"ETISALAT-UAE"
4507635841,11271,16,53060392,24.71,"Seeb","Oman","OM",23.6803,58.1825,"Ooredoo Oman"
4507635841,17038,16,20681124,9.63,"Nizhny Tagil","Russia","RU",57.9215,59.9816,"MegaFon"
4507635841,17336,16,62301107,29.02,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"ETISALAT-UAE"
4507635841,33712,16,78669619,36.64,"Sharjah","United Arab Emirates","AE",25.3463,55.4209,"ETISALAT-UAE"
